"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",1.19173784720536,1.92638405579513,2.67359659386145,0.720521585125477,0.471203914589775,0.562932095490211
"0610007C21Rik",294.705231331262,0.422515687249678,0.1343430165269,3.14505136309096,0.00166057672663173,0.00359989561309774
"0610007N19Rik",8.23557434078121,1.56104484404552,0.865279844864866,1.80409246015584,0.0712168135276443,0.114307936771319
"0610007P08Rik",682.375803120184,-0.568092019815539,0.0887997462153096,-6.39745093908384,1.57992219442004e-10,6.13514624555122e-10
"0610007P14Rik",673.286452475765,-0.192852226992403,0.0890991238928408,-2.16446827495572,0.03042842885156,0.0533204581292525
"0610007P22Rik",402.284726317287,0.677588560388072,0.123338556660417,5.49372863389059,3.93535048124034e-08,1.33063392584196e-07
"0610008F07Rik",1.58449860141083,4.05803437077976,2.45094253285632,1.65570359826044,0.0977818582699485,0.150693823845592
"0610009B22Rik",179.495689306833,-0.155998266851128,0.172762279351188,-0.902964856894587,0.366544546844477,0.458559647250397
"0610009D07Rik",623.000802902238,-0.175561963896611,0.0934936940318378,-1.87779470813108,0.0604092544828969,0.098760996604654
"0610009L18Rik",22.3961742248947,2.13678641465292,0.543793346621584,3.92940889756761,8.51549307010862e-05,0.000215486998478981
"0610009O20Rik",563.628602814202,-0.774643269529683,0.0986448225628146,-7.85285278440648,4.06678931406236e-15,1.98448535372759e-14
"0610010F05Rik",563.664191966992,-0.760211727068632,0.103686857363219,-7.33180411096443,2.27074847809019e-13,1.01867384569925e-12
"0610010K14Rik",326.006137945847,-1.10439605420744,0.141407016456835,-7.81005131060495,5.71647089085133e-15,2.77198630808252e-14
"0610010O12Rik",2444.5162032122,-0.0043213570201067,0.0485423076264658,-0.0890224884519219,0.92906403787388,0.948585256124517
"0610011F06Rik",309.424654135154,-0.833389241296227,0.132193886706126,-6.30429486613774,2.89508872727562e-10,1.10972419129566e-09
"0610011L14Rik",487.075877988102,-0.440370125368826,0.104154904074098,-4.22803063651748,2.35745697549444e-05,6.31172971669008e-05
"0610012G03Rik",415.832427167813,-0.222624136208547,0.112442780199963,-1.97988822237091,0.0477160901097789,0.0801002320563658
"0610030E20Rik",320.579327686301,0.293357898565316,0.128660534809396,2.28009232978792,0.0226022130503952,0.0406855625926943
"0610031J06Rik",1755.15356123362,1.22352562549907,0.0582359951586727,21.0097830760064,5.33780408091261e-98,1.61252095706766e-96
